Sensor Alias,Gateway Alias,Variable,Statistic,Value
sensor01,gatewayA,RSSI (dBm),mean,-93.39333099812899
sensor01,gatewayA,SNR (dB),mean,9.15060065622354
sensor01,gatewayA,Spreading Factor (-),mean,7.0
sensor01,gatewayA,Bandwidth (Hz),mean,125000.0
sensor01,gatewayA,Frequency (Hz),mean,904591353.1939615
sensor01,gatewayA,Airtime (s),mean,0.0680807667216294
sensor01,gatewayA,Counter (-),mean,101051.02032482123
sensor01,gatewayA,# Receiving Gateways (-),mean,2.024468385035327
sensor01,gatewayA,RSSI (dBm),std,9.546696632858511
sensor01,gatewayA,SNR (dB),std,5.401585943838039
sensor01,gatewayA,Spreading Factor (-),std,0.0
sensor01,gatewayA,Bandwidth (Hz),std,0.0
sensor01,gatewayA,Frequency (Hz),std,455374.9744631406
sensor01,gatewayA,Airtime (s),std,0.0022123239734735552
sensor01,gatewayA,Counter (-),std,39893.936548753394
sensor01,gatewayA,# Receiving Gateways (-),std,0.7362639720944446
sensor01,gatewayA,RSSI (dBm),min,-119.0
sensor01,gatewayA,SNR (dB),min,-9.0
sensor01,gatewayA,Spreading Factor (-),min,7.0
sensor01,gatewayA,Bandwidth (Hz),min,125000.0
sensor01,gatewayA,Frequency (Hz),min,903900000.0
sensor01,gatewayA,Airtime (s),min,0.066816
sensor01,gatewayA,Counter (-),min,32604.0
sensor01,gatewayA,# Receiving Gateways (-),min,1.0
sensor01,gatewayA,RSSI (dBm),max,-42.0
sensor01,gatewayA,SNR (dB),max,15.0
sensor01,gatewayA,Spreading Factor (-),max,7.0
sensor01,gatewayA,Bandwidth (Hz),max,125000.0
sensor01,gatewayA,Frequency (Hz),max,905300000.0
sensor01,gatewayA,Airtime (s),max,0.077056
sensor01,gatewayA,Counter (-),max,173447.0
sensor01,gatewayA,# Receiving Gateways (-),max,4.0
sensor01,gatewayA,RSSI (dBm),count,117049.0
sensor01,gatewayA,SNR (dB),count,113376.0
sensor01,gatewayA,Spreading Factor (-),count,117049.0
sensor01,gatewayA,Bandwidth (Hz),count,117049.0
sensor01,gatewayA,Frequency (Hz),count,117049.0
sensor01,gatewayA,Airtime (s),count,117049.0
sensor01,gatewayA,Counter (-),count,117049.0
sensor01,gatewayA,# Receiving Gateways (-),count,117049.0
sensor01,gatewayB,RSSI (dBm),mean,-109.5846658900773
sensor01,gatewayB,SNR (dB),mean,-5.772039687703318
sensor01,gatewayB,Spreading Factor (-),mean,7.0
sensor01,gatewayB,Bandwidth (Hz),mean,125000.0
sensor01,gatewayB,Frequency (Hz),mean,904529693.9531928
sensor01,gatewayB,Airtime (s),mean,0.06954923308270676
sensor01,gatewayB,Counter (-),mean,116932.29460976385
sensor01,gatewayB,# Receiving Gateways (-),mean,3.137774012496029
sensor01,gatewayB,RSSI (dBm),std,9.20961997861396
sensor01,gatewayB,SNR (dB),std,2.2230585364364033
sensor01,gatewayB,Spreading Factor (-),std,0.0
sensor01,gatewayB,Bandwidth (Hz),std,0.0
sensor01,gatewayB,Frequency (Hz),std,481726.42550336494
sensor01,gatewayB,Airtime (s),std,0.002557526026575982
sensor01,gatewayB,Counter (-),std,36722.66802789949
sensor01,gatewayB,# Receiving Gateways (-),std,0.6921776761553274
sensor01,gatewayB,RSSI (dBm),min,-122.0
sensor01,gatewayB,SNR (dB),min,-9.75
